timestap,high,low,open,close,volume,quoteVolume,weightedAverage,DateTime
1439006400,1.85,0.50000021,1.65,1.85,144.4281925,84.01638508,1.71904792,2015-08-08 4:00
1439020800,1.7,1.40000001,1.7,1.40000001,129.5757759,92.52305316,1.40047016,2015-08-08 8:00
1439035200,1.40000001,1.40000001,1.40000001,1.40000001,0,0,1.40000001,2015-08-08 12:00
1439049600,1.40000001,1.40000001,1.40000001,1.40000001,0,0,1.40000001,2015-08-08 16:00
1439064000,1.40000001,1.40000001,1.40000001,1.40000001,0,0,1.40000001,2015-08-08 20:00
1439078400,1.40000001,1.40000001,1.40000001,1.40000001,0,0,1.40000001,2015-08-09 0:00
1439092800,1.40000001,1.40000001,1.40000001,1.40000001,0,0,1.40000001,2015-08-09 4:00
1439107200,1.40000001,1.40000001,1.40000001,1.40000001,0,0,1.40000001,2015-08-09 8:00
1439121600,1.40000001,1.40000001,1.40000001,1.40000001,0,0,1.40000001,2015-08-09 12:00
1439136000,1.40000001,1.40000001,1.40000001,1.40000001,0,0,1.40000001,2015-08-09 16:00
1439150400,1.40000001,1.40000001,1.40000001,1.40000001,0,0,1.40000001,2015-08-09 20:00
1439164800,1.40000001,1.40000001,1.40000001,1.40000001,0,0,1.40000001,2015-08-10 0:00
1439179200,1.40000001,1.40000001,1.40000001,1.40000001,0,0,1.40000001,2015-08-10 4:00
1439193600,1.40000001,1.40000001,1.40000001,1.40000001,0,0,1.40000001,2015-08-10 8:00
1439208000,1.40000001,1.40000001,1.40000001,1.40000001,0,0,1.40000001,2015-08-10 12:00
1439222400,1.40000001,1.40000001,1.40000001,1.40000001,0,0,1.40000001,2015-08-10 16:00
1439236800,1.40000001,1.40000001,1.40000001,1.40000001,0,0,1.40000001,2015-08-10 20:00
1439251200,0.66000001,0.66000001,0.66000001,0.66000001,0.07380013,0.11181839,0.66000001,2015-08-11 0:00
1439265600,0.66000001,0.66000001,0.66000001,0.66000001,0,0,0.66000001,2015-08-11 4:00
1439280000,0.76999944,0.55000001,0.76999944,0.55000001,0.02629906,0.03984044,0.66010983,2015-08-11 8:00
1439294400,0.77000001,0.76999922,0.76999922,0.77000001,47.50194788,61.69089653,0.76999931,2015-08-11 12:00
1439308800,1,0.99999999,0.99999999,1,126.6805259,126.6805262,0.99999999,2015-08-11 16:00
1439323200,1.14,1.05999999,1.05999999,1.1,68.6933997,62.994,1.09047527,2015-08-11 20:00
1439337600,1.05000001,0.9000006,1.05000001,0.90000146,101.624865,112.392341,0.90419742,2015-08-12 0:00
1439352000,0.90000146,0.90000146,0.90000146,0.90000146,0,0,0.90000146,2015-08-12 4:00
1439366400,1.18,1,1,1.18,127.5411558,109.7049504,1.16258341,2015-08-12 8:00
1439380800,1.26,1.22,1.22,1.26,18.57815219,15.22075571,1.22058014,2015-08-12 12:00
1439395200,1.39999999,1.26,1.26,1.39999999,228.6977819,166.7620551,1.37140179,2015-08-12 16:00
1439409600,1.38,1.38,1.38,1.38,0.36525637,0.26467853,1.38,2015-08-12 20:00
1439424000,1.38,1.38,1.38,1.38,0,0,1.38,2015-08-13 0:00
1439438400,1.3,1.3,1.3,1.3,5.25731536,4.04408874,1.3,2015-08-13 4:00
1439452800,1.3,1.3,1.3,1.3,7.74268463,5.95591126,1.3,2015-08-13 8:00
1439467200,1.46,1.38,1.38,1.46,50.49627581,35.68086244,1.41522015,2015-08-13 12:00
1439481600,2.05,1.46,1.46,2.05,522.6172927,302.0760229,1.73008531,2015-08-13 16:00
1439496000,2.15,2.14,2.15,2.14,0.17328582,0.08060516,2.14981056,2015-08-13 20:00
1439510400,2.14,2.14,2.14,2.14,0,0,2.14,2015-08-14 0:00
1439524800,2.14,2.14,2.14,2.14,0,0,2.14,2015-08-14 4:00
1439539200,2.15,2.14,2.14,2.15,53.47671417,24.91939484,2.14598767,2015-08-14 8:00
1439553600,2.15,2.15,2.15,2.15,0,0,2.15,2015-08-14 12:00
1439568000,2.15,2.15,2.15,2.15,0,0,2.15,2015-08-14 16:00
1439582400,2.15,2.15,2.15,2.15,0,0,2.15,2015-08-14 20:00
1439596800,1.625,1.625,1.625,1.625,17.875,11,1.625,2015-08-15 0:00
1439611200,2.19999999,1.7,1.7,2.19999999,10.99999995,6,1.83333332,2015-08-15 4:00
1439625600,2.19999999,2.19999999,2.19999999,2.19999999,0,0,2.19999999,2015-08-15 8:00
1439640000,2.19999999,2.19999999,2.19999999,2.19999999,0,0,2.19999999,2015-08-15 12:00
1439654400,1.5,1.15000001,1.5,1.5,24.34824571,16.62755862,1.46433076,2015-08-15 16:00
1439668800,1.5,1.5,1.5,1.5,0,0,1.5,2015-08-15 20:00
1439683200,1.769999,1.769999,1.769999,1.769999,0.00068704,0.00038816,1.769999,2015-08-16 0:00
1439697600,1.77,1.14,1.14000001,1.77,15.77934371,13.11196337,1.20343103,2015-08-16 4:00
