date,high,low,open,close,volume,quoteVolume,weightedAverage,DateTime
1435699200,259.9550359,259.9550359,259.9550359,259.9550359,0,0,259.9550359,2015-06-30 21:20
1435701600,259.365275,259.365275,259.365275,259.365275,33.37321984,0.12867266,259.365275,2015-06-30 22:00
1435708800,259,259,259,259,0.61136432,0.00236048,259,2015-07-01 0:00
1435716000,259.710025,259.710025,259.710025,259.710025,62.65326711,0.24124316,259.710025,2015-07-01 2:00
1435723200,258.6117526,257.5774207,258.6117526,257.5774207,2.11687859,0.00821835,257.5795137,2015-07-01 4:00
1435730400,257.05545,257.05545,257.05545,257.05545,0.32719045,0.00127284,257.05545,2015-07-01 6:00
1435737600,257.05545,257.05545,257.05545,257.05545,0,0,257.05545,2015-07-01 8:00
1435744800,257.05545,257.05545,257.05545,257.05545,0,0,257.05545,2015-07-01 10:00
1435752000,257.05545,257.05545,257.05545,257.05545,0,0,257.05545,2015-07-01 12:00
1435759200,253.6585184,253.6585184,253.6585184,253.6585184,47.95033801,0.189035,253.6585184,2015-07-01 14:00
1435766400,253.6585184,253.6585184,253.6585184,253.6585184,0,0,253.6585184,2015-07-01 16:00
1435773600,258.4240728,258.4240728,258.4240728,258.4240728,33.16391529,0.12833137,258.4240728,2015-07-01 18:00
1435780800,258.4240728,258.4240728,258.4240728,258.4240728,0,0,258.4240728,2015-07-01 20:00
1435788000,263.0575989,259.839832,259.839832,263.0575989,143.0586549,0.54632595,261.8558663,2015-07-01 22:00
1435795200,263.0575989,263.0575989,263.0575989,263.0575989,0,0,263.0575989,2015-07-02 0:00
1435802400,263.0575989,263.0575989,263.0575989,263.0575989,0,0,263.0575989,2015-07-02 2:00
1435809600,263.0575989,263.0575989,263.0575989,263.0575989,0,0,263.0575989,2015-07-02 4:00
1435816800,255.8398363,255.8398361,255.8398361,255.8398363,1.83836528,0.00718561,255.8398362,2015-07-02 6:00
1435824000,255.8398363,255.8398363,255.8398363,255.8398363,0,0,255.8398363,2015-07-02 8:00
1435831200,256.923049,255.8398399,256.923049,255.8398399,10.80559784,0.04222371,255.9130367,2015-07-02 10:00
